"ReleaseIndex","Version","CommitId","FQCN","OriginalClassPath","SonarPath"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.OpenJPAProductDerivation","openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAProductDerivation.java","src/main/java/org/apache/openjpa/conf/OpenJPAProductDerivation.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.OpenJPAVersion","openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAVersion.java","src/main/java/org/apache/openjpa/conf/OpenJPAVersion.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.OpenJPAVersionAndConfigurationTypeValidationPolicy","openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAVersionAndConfigurationTypeValidationPolicy.java","src/main/java/org/apache/openjpa/conf/OpenJPAVersionAndConfigurationTypeValidationPolicy.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.QueryCompilationCacheValue","openjpa-kernel/src/main/java/org/apache/openjpa/conf/QueryCompilationCacheValue.java","src/main/java/org/apache/openjpa/conf/QueryCompilationCacheValue.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.RemoteCommitProviderValue","openjpa-kernel/src/main/java/org/apache/openjpa/conf/RemoteCommitProviderValue.java","src/main/java/org/apache/openjpa/conf/RemoteCommitProviderValue.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.SchemaGenerationAction","openjpa-kernel/src/main/java/org/apache/openjpa/conf/SchemaGenerationAction.java","src/main/java/org/apache/openjpa/conf/SchemaGenerationAction.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.SchemaGenerationSource","openjpa-kernel/src/main/java/org/apache/openjpa/conf/SchemaGenerationSource.java","src/main/java/org/apache/openjpa/conf/SchemaGenerationSource.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.SeqValue","openjpa-kernel/src/main/java/org/apache/openjpa/conf/SeqValue.java","src/main/java/org/apache/openjpa/conf/SeqValue.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.Specification","openjpa-kernel/src/main/java/org/apache/openjpa/conf/Specification.java","src/main/java/org/apache/openjpa/conf/Specification.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.conf.SpecificationPlugin","openjpa-kernel/src/main/java/org/apache/openjpa/conf/SpecificationPlugin.java","src/main/java/org/apache/openjpa/conf/SpecificationPlugin.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.AbstractDataCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractDataCache.java","src/main/java/org/apache/openjpa/datacache/AbstractDataCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.AbstractQueryCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractQueryCache.java","src/main/java/org/apache/openjpa/datacache/AbstractQueryCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.CacheDistributionPolicy","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheDistributionPolicy.java","src/main/java/org/apache/openjpa/datacache/CacheDistributionPolicy.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.CacheStatistics","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatistics.java","src/main/java/org/apache/openjpa/datacache/CacheStatistics.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.CacheStatisticsImpl","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatisticsImpl.java","src/main/java/org/apache/openjpa/datacache/CacheStatisticsImpl.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.CacheStatisticsSPI","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatisticsSPI.java","src/main/java/org/apache/openjpa/datacache/CacheStatisticsSPI.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.Caches","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/Caches.java","src/main/java/org/apache/openjpa/datacache/Caches.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.ClearableScheduler","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ClearableScheduler.java","src/main/java/org/apache/openjpa/datacache/ClearableScheduler.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.ConcurrentDataCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ConcurrentDataCache.java","src/main/java/org/apache/openjpa/datacache/ConcurrentDataCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.ConcurrentQueryCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ConcurrentQueryCache.java","src/main/java/org/apache/openjpa/datacache/ConcurrentQueryCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DataCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCache.java","src/main/java/org/apache/openjpa/datacache/DataCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DataCacheManager","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheManager.java","src/main/java/org/apache/openjpa/datacache/DataCacheManager.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DataCacheManagerImpl","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheManagerImpl.java","src/main/java/org/apache/openjpa/datacache/DataCacheManagerImpl.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DataCacheMode","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheMode.java","src/main/java/org/apache/openjpa/datacache/DataCacheMode.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DataCachePCData","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCData.java","src/main/java/org/apache/openjpa/datacache/DataCachePCData.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DataCachePCDataGenerator","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCDataGenerator.java","src/main/java/org/apache/openjpa/datacache/DataCachePCDataGenerator.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DataCachePCDataImpl","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCDataImpl.java","src/main/java/org/apache/openjpa/datacache/DataCachePCDataImpl.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DataCacheStoreManager","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java","src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DefaultCacheDistributionPolicy","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DefaultCacheDistributionPolicy.java","src/main/java/org/apache/openjpa/datacache/DefaultCacheDistributionPolicy.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DelegatingDataCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingDataCache.java","src/main/java/org/apache/openjpa/datacache/DelegatingDataCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.DelegatingQueryCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java","src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.ExpirationEvent","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ExpirationEvent.java","src/main/java/org/apache/openjpa/datacache/ExpirationEvent.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.ExpirationListener","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ExpirationListener.java","src/main/java/org/apache/openjpa/datacache/ExpirationListener.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.PartitionedDataCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/PartitionedDataCache.java","src/main/java/org/apache/openjpa/datacache/PartitionedDataCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.QueryCache","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCache.java","src/main/java/org/apache/openjpa/datacache/QueryCache.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.QueryCacheStoreQuery","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java","src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.QueryKey","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryKey.java","src/main/java/org/apache/openjpa/datacache/QueryKey.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.QueryResult","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryResult.java","src/main/java/org/apache/openjpa/datacache/QueryResult.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.TypeBasedCacheDistributionPolicy","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypeBasedCacheDistributionPolicy.java","src/main/java/org/apache/openjpa/datacache/TypeBasedCacheDistributionPolicy.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.TypesChangedEvent","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypesChangedEvent.java","src/main/java/org/apache/openjpa/datacache/TypesChangedEvent.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.datacache.TypesChangedListener","openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypesChangedListener.java","src/main/java/org/apache/openjpa/datacache/TypesChangedListener.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.ee.AbstractManagedRuntime","openjpa-kernel/src/main/java/org/apache/openjpa/ee/AbstractManagedRuntime.java","src/main/java/org/apache/openjpa/ee/AbstractManagedRuntime.java"
"36","4.1.1","9d2f5f8c35691c3542606bea1d23b916bcbeda8d","org.apache.openjpa.ee.AutomaticManagedRuntime","openjpa-kernel/src/main/java/org/apache/openjpa/ee/AutomaticManagedRuntime.java","src/main/java/org/apache/openjpa/ee/AutomaticManagedRuntime.java"
